Precursors,Amounts,Products,Reaction energy (meV/atom)
Y2O3 + BaO2 + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + O2 + CO2,-684.5725652364363
Y2O3 + BaO + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + CO2,-667.0656866322632
BaO2 + CuCO3 + Y2Cu2O5,2.0 + 2.0 + 0.5,Y Ba2 Cu3 O6.5 + O2 + CO2,-594.9394718943933
Y2C3O9 + BaO2 + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + O2 + CO2,-591.8966565917668
Y2O3 + BaCO3 + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + CO2,-591.6435099886954
Y2C3O9 + BaO + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + CO2,-570.2908986194966
BaO + CuCO3 + Y2Cu2O5,2.0 + 2.0 + 0.5,Y Ba2 Cu3 O6.5 + CO2,-564.9035758579735
Y2C3O9 + BaCO3 + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + CO2,-523.6202383188247
BaCO3 + CuCO3 + Y2Cu2O5,2.0 + 2.0 + 0.5,Y Ba2 Cu3 O6.5 + CO2,-505.2653230803248
Y2O3 + BaO2 + Cu2O,0.5 + 2.0 + 1.5,Y Ba2 Cu3 O6.5 + O2,-349.35609165570236
Y2O3 + CuCO3 + BaCuO2,0.5 + 1.0 + 2.0,Y Ba2 Cu3 O6.5 + CO2,-341.4777402074023
BaO2 + Cu2O + Y2Cu2O5,2.0 + 1.0 + 0.5,Y Ba2 Cu3 O6.5 + O2,-333.26235403557945
Y2O3 + BaO + BaO2 + Cu2O,0.5 + 0.5 + 1.5 + 1.5,Y Ba2 Cu3 O6.5,-328.41947491267877
Y2O3 + BaO2 + BaCO3 + Cu2O,0.5 + 1.5 + 0.5 + 1.5,Y Ba2 Cu3 O6.5 + CO2,-327.66532156659946
Y2O3 + BaO2 + CuO,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + O2,-304.7134840321355
BaO2 + CuO + Y2Cu2O5,2.0 + 2.0 + 0.5,Y Ba2 Cu3 O6.5 + O2,-304.6105285591877
BaO2 + BaCO3 + Cu2O + Y2Cu2O5,1.0 + 1.0 + 1.0 + 0.5,Y Ba2 Cu3 O6.5 + CO2,-296.15563872882353
BaO + BaO2 + Cu2O + Y2Cu2O5,1.0 + 1.0 + 1.0 + 0.5,Y Ba2 Cu3 O6.5,-290.1016215399221
Y2C3O9 + CuCO3 + BaCuO2,0.5 + 1.0 + 2.0,Y Ba2 Cu3 O6.5 + CO2,-288.9278037363989
Y2C3O9 + BaO2 + Cu2O,0.5 + 2.0 + 1.5,Y Ba2 Cu3 O6.5 + O2 + CO2,-287.27315960213497
Y2C3O9 + BaO2 + BaCO3 + Cu2O,0.5 + 1.5 + 0.5 + 1.5,Y Ba2 Cu3 O6.5 + CO2,-274.2143569430049
Y2C3O9 + BaO + BaO2 + Cu2O,0.5 + 0.5 + 1.5 + 1.5,Y Ba2 Cu3 O6.5 + CO2,-270.0526198777473
Y2C3O9 + BaO2 + CuO,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + O2 + CO2,-258.10508526205876
Y2O3 + BaCO3 + CuO,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + CO2,-248.70739243777518
BaCO3 + CuO + Y2Cu2O5,2.0 + 2.0 + 0.5,Y Ba2 Cu3 O6.5 + CO2,-248.62669760762745
Y2O3 + BaO2 + Cu2O + BaCuO2,0.5 + 1.0 + 1.0 + 1.0,Y Ba2 Cu3 O6.5,-239.4370187024597
Y2C3O9 + BaCO3 + CuO,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + CO2,-221.16251572226452
Y2O3 + BaO + CuO,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5,-213.82419984027078
BaO + CuO + Y2Cu2O5,2.0 + 2.0 + 0.5,Y Ba2 Cu3 O6.5,-213.70477149165112
Y2C3O9 + BaO2 + Cu2O + BaCuO2,0.5 + 1.0 + 1.0 + 1.0,Y Ba2 Cu3 O6.5 + CO2,-204.62434325258673
BaCO3 + Cu2O + Ba2Cu3O6 + Y2Cu2O5,1.2 + 0.4 + 0.4 + 0.5,Y Ba2 Cu3 O6.5 + CO2,-199.51866319703714
Y2C3O9 + BaO + CuO,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + CO2,-185.7913882068598
Y2O3 + BaCO3 + Cu2O + Ba2Cu3O6,0.5 + 0.8 + 0.6 + 0.6,Y Ba2 Cu3 O6.5 + CO2,-169.13232333527884
BaO + Cu2O + Ba2Cu3O6 + Y2Cu2O5,1.2 + 0.4 + 0.4 + 0.5,Y Ba2 Cu3 O6.5,-164.422393617202
BaO2 + Ba2Cu3O6 + Y2Cu2O5,0.667 + 0.667 + 0.5,Y Ba2 Cu3 O6.5 + O2,-156.98662900005277
Y2C3O9 + BaCO3 + Cu2O + Ba2Cu3O6,0.5 + 0.8 + 0.6 + 0.6,Y Ba2 Cu3 O6.5 + CO2,-154.9341607839627
BaCO3 + Ba2Cu3O6 + Y2Cu2O5,0.667 + 0.667 + 0.5,Y Ba2 Cu3 O6.5 + O2 + CO2,-147.20189769527602
Y2O3 + BaO + Cu2O + Ba2Cu3O6,0.5 + 0.8 + 0.6 + 0.6,Y Ba2 Cu3 O6.5,-139.900633028597
Y2C3O9 + BaO + Cu2O + Ba2Cu3O6,0.5 + 0.8 + 0.6 + 0.6,Y Ba2 Cu3 O6.5 + CO2,-131.4358243747469
BaO + Ba2Cu3O6 + Y2Cu2O5,0.667 + 0.667 + 0.5,Y Ba2 Cu3 O6.5 + O2,-120.74435653264803
Y2O3 + CuO + BaCuO2,0.5 + 1.0 + 2.0,Y Ba2 Cu3 O6.5,-112.25613746810504
BaCuO2 + Y2Cu2O5,2.0 + 0.5,Y Ba2 Cu3 O6.5,-112.1367091194847
Y2C3O9 + CuO + BaCuO2,0.5 + 1.0 + 2.0,Y Ba2 Cu3 O6.5 + CO2,-111.10898940379643
Y2C3O9 + Cu2O + BaCuO2 + Ba2Cu3O6,0.5 + 0.333 + 1.333 + 0.333,Y Ba2 Cu3 O6.5 + CO2,-105.80558687586561
Y2O3 + Cu2O + BaCuO2 + Ba2Cu3O6,0.5 + 0.333 + 1.333 + 0.333,Y Ba2 Cu3 O6.5,-105.04351003011858
Y2C3O9 + Ba2Cu3O6,0.5 + 1.0,Y Ba2 Cu3 O6.5 + O2 + CO2,-85.34389864266512
Y2O3 + Ba2Cu3O6,0.5 + 1.0,Y Ba2 Cu3 O6.5 + O2,-77.81770918924025
